name,release_date,required_age,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,average_completion_time,developers
Words for Evil,2014-12-11,0,Word Game;Typing;Spelling,320,80,0.27,0.27,20000-50000,1.99,7.50,Dylan Loney
Distant Star: Revenant Fleet,2015-04-07,0,Indie;Strategy;Action,175,93,0.00,0.00,20000-50000,6.99,10.50,Blazing Griffin
Ephemerid: A Musical Adventure,2015-02-03,0,Indie;Adventure;Rhythm,181,15,0.00,0.00,0-20000,1.59,2.00,SuperChop Games
Pahelika: Secret Legends,2015-01-23,0,Indie;Casual;Point & Click,25,33,0.00,0.00,0-20000,1.69,2.00,Ironcode Gaming
Race.a.bit,2016-03-10,0,Racing;Indie;Level Editor,42,13,0.00,0.00,0-20000,6.99,0.75,Aesir Interactive
Bloody Streets,2015-03-12,0,Indie;Action;Zombies,92,18,0.00,0.00,20000-50000,3.99,2.00,Headless Wizard
Shardlight,2016-03-08,0,Adventure;Female Protagonist;Indie,292,33,1.12,1.12,20000-50000,10.99,6.50,Wadjet Eye Games
Unavowed,2018-08-08,0,Adventure;Indie;Point & Click,607,23,0.00,0.00,20000-50000,10.99,10.00,Wadjet Eye Games
Typoman,2016-08-15,0,Indie;2D;Word Game,293,42,0.00,0.00,20000-50000,7.99,4.50,Brainseed Factory
Elastrix,2014-12-18,0,Casual;Indie;Puzzle,18,3,0.00,0.00,0-20000,1.99,2.00,Hyper Hippo Games
Pilot Brothers,2014-12-18,0,Adventure;Casual;Point & Click,73,17,0.00,0.00,20000-50000,3.99,1.50,1C Wireless
Pilot Brothers 2,2014-12-31,0,Adventure;Casual;Point & Click,25,9,0.00,0.00,0-20000,3.99,1.50,1C Wireless
Pilot Brothers 3: Back Side of the Earth,2015-01-22,0,Adventure;Casual;Point & Click,12,15,0.00,0.00,0-20000,3.99,2.50,1C Wireless
Color Guardians,2015-05-12,0,Action;Indie;Family Friendly,21,3,0.00,0.00,0-20000,11.39,6.50,Fair Play Labs
Deus Ex: Mankind Divided,2016-08-23,18,Cyberpunk;Stealth;Action,16023,7344,13.30,16.28,1000000-2000000,19.99,29.00,Eidos Montreal
